id	position	name	GSM2522670
B01R01C01	1-1-1	AlexaAntiMouseAb~N/A	39005
B01R01C02	1-2-1	AlexaAntiMouseAb~N/A	34022
B01R01C03	1-3-1	ERa~N/A	2378
B01R01C04	1-4-1	ERa~N/A	1911
B01R01C05	1-5-1	HumanIgG1~N/A	794
B01R01C06	1-6-1	HumanIgG1~N/A	1019
B01R01C07	1-7-1	HumanIgG2~N/A	2691
B01R01C08	1-8-1	HumanIgG2~N/A	2998
B01R01C09	1-9-1	HumanIgG3~N/A	13894
B01R01C10	1-10-1	HumanIgG3~N/A	14282
B01R01C11	1-11-1	HumanIgG4~N/A	43387
B01R01C12	1-12-1	HumanIgG4~N/A	48747
B01R01C13	1-13-1	BiotinAb~N/A	265
B01R01C14	1-14-1	BiotinAb~N/A	302
B01R01C15	1-15-1	RanBP2deltaFG~N/A	208
B01R01C16	1-16-1	RanBP2deltaFG~N/A	107
B01R01C17	1-17-1	hMDM2~N/A	737
B01R01C18	1-18-1	hMDM2~N/A	755
B01R01C19	1-19-1	PKCeta~N/A	413
B01R01C20	1-20-1	PKCeta~N/A	428
B01R01C21	1-21-1	AlexaAntiMouseAb~N/A	47433
B01R01C22	1-22-1	AlexaAntiMouseAb~N/A	47893
B01R02C01	1-1-2	PKCeta~N/A	1122
B01R02C02	1-2-2	PKCeta~N/A	32
B01R02C03	1-3-2	Buffer	185
B01R02C04	1-4-2	Buffer	28
B01R02C05	1-5-2	HumanIgA~N/A	18420
B01R02C06	1-6-2	HumanIgA~N/A	18480
B01R02C07	1-7-2	Buffer	43
B01R02C08	1-8-2	Buffer	44
B01R02C09	1-9-2	BSA~N/A	10922
B01R02C10	1-10-2	BSA~N/A	11344
B01R02C11	1-11-2	Hs~MGC:NM_175877.3~uORF:IOH22866	320
B01R02C12	1-12-2	Hs~MGC:NM_175877.3~uORF:IOH22866	344
B01R02C13	1-13-2	Hs~MGC:NM_152728.1~uORF:IOH21580	462
B01R02C14	1-14-2	Hs~MGC:NM_152728.1~uORF:IOH21580	426
B01R02C15	1-15-2	Hs~MGC:BC021174.1~uORF:IOH10706	-3
B01R02C16	1-16-2	Hs~MGC:BC021174.1~uORF:IOH10706	-1
B01R02C17	1-17-2	Hs~MGC:BC017901.1~uORF:IOH12549	520
B01R02C18	1-18-2	Hs~MGC:BC017901.1~uORF:IOH12549	489
B01R02C19	1-19-2	Hs~MGC:BC032499.1~uORF:IOH21893	653
B01R02C20	1-20-2	Hs~MGC:BC032499.1~uORF:IOH21893	684
B01R02C21	1-21-2	Hs~Ref:NM_006399.2~uORF:IOH21626	491
B01R02C22	1-22-2	Hs~Ref:NM_006399.2~uORF:IOH21626	414
B01R03C01	1-1-3	Hs~MGC:BC032302.1~uORF:IOH21655	352
B01R03C02	1-2-3	Hs~MGC:BC032302.1~uORF:IOH21655	283
B01R03C03	1-3-3	Hs~Ref:NM_007254.2~uORF:IOH21884	3803
B01R03C04	1-4-3	Hs~Ref:NM_007254.2~uORF:IOH21884	4297
B01R03C05	1-5-3	Hs~Ref:NM_000993.2~uORF:IOH14051	1684
B01R03C06	1-6-3	Hs~Ref:NM_000993.2~uORF:IOH14051	1836
B01R03C07	1-7-3	Hs~Ref:NM_002413.3~uORF:IOH13576	365
B01R03C08	1-8-3	Hs~Ref:NM_002413.3~uORF:IOH13576	402
B01R03C09	1-9-3	Hs~Ref:NM_004450.1~uORF:IOH14288	796
B01R03C10	1-10-3	Hs~Ref:NM_004450.1~uORF:IOH14288	1518
B01R03C11	1-11-3	Hs~MGC:BC012766.1~uORF:IOH13844	132
B01R03C12	1-12-3	Hs~MGC:BC012766.1~uORF:IOH13844	135
B01R03C13	1-13-3	Hs~MGC:BC015883.1~uORF:IOH10061	265
B01R03C14	1-14-3	Hs~MGC:BC015883.1~uORF:IOH10061	254
B01R03C15	1-15-3	Hs~MGC:BC016295.1~uORF:IOH10091	620
B01R03C16	1-16-3	Hs~MGC:BC016295.1~uORF:IOH10091	576
B01R03C17	1-17-3	Hs~MGC:BC015803.1~uORF:IOH10126	2183
B01R03C18	1-18-3	Hs~MGC:BC015803.1~uORF:IOH10126	2157
B01R03C19	1-19-3	Hs~Ref:NM_004865.2~uORF:IOH10084	509
B01R03C20	1-20-3	Hs~Ref:NM_004865.2~uORF:IOH10084	531
B01R03C21	1-21-3	Hs~MGC:BC018732.1~uORF:IOH14058	1152
B01R03C22	1-22-3	Hs~MGC:BC018732.1~uORF:IOH14058	1050
B01R04C01	1-1-4	Hs~MGC:BC024281.1~uORF:IOH14073	508
B01R04C02	1-2-4	Hs~MGC:BC024281.1~uORF:IOH14073	630
B01R04C03	1-3-4	Hs~MGC:BC007658.1~uORF:IOH5956	2232
B01R04C04	1-4-4	Hs~MGC:BC007658.1~uORF:IOH5956	738
B01R04C05	1-5-4	Hs~Ref:NM_145252.1~uORF:IOH9864	560
B01R04C06	1-6-4	Hs~Ref:NM_145252.1~uORF:IOH9864	1016
B01R04C07	1-7-4	Hs~MGC:BC011923.1~uORF:IOH13453	549
B01R04C08	1-8-4	Hs~MGC:BC011923.1~uORF:IOH13453	533
B01R04C09	1-9-4	Hs~Ref:NM_020530.2~uORF:IOH13456	951
B01R04C10	1-10-4	Hs~Ref:NM_020530.2~uORF:IOH13456	749
B01R04C11	1-11-4	Hs~Ref:NM_022720.2~uORF:IOH12840	353
B01R04C12	1-12-4	Hs~Ref:NM_022720.2~uORF:IOH12840	308
B01R04C13	1-13-4	Hs~Ref:NM_145042.1~uORF:IOH13383	691
B01R04C14	1-14-4	Hs~Ref:NM_145042.1~uORF:IOH13383	767
B01R04C15	1-15-4	Hs~Ref:NM_007173.3~uORF:IOH3271	145
B01R04C16	1-16-4	Hs~Ref:NM_007173.3~uORF:IOH3271	197
B01R04C17	1-17-4	Hs~Ref:NM_016034.2~uORF:IOH6982	461
B01R04C18	1-18-4	Hs~Ref:NM_016034.2~uORF:IOH6982	483
B01R04C19	1-19-4	Hs~Ref:NM_025083.2~uORF:IOH9818	485
B01R04C20	1-20-4	Hs~Ref:NM_025083.2~uORF:IOH9818	468
B01R04C21	1-21-4	Hs~MGC:BC011553.1~uORF:IOH12716	426
B01R04C22	1-22-4	Hs~MGC:BC011553.1~uORF:IOH12716	493
B01R05C01	1-1-5	Hs~Ref:NM_032306.2~uORF:IOH5568	1207
B01R05C02	1-2-5	Hs~Ref:NM_032306.2~uORF:IOH5568	1132
B01R05C03	1-3-5	Hs~MGC:BC039269.1~uORF:IOH27269	176
B01R05C04	1-4-5	Hs~MGC:BC039269.1~uORF:IOH27269	177
B01R05C05	1-5-5	Hs~Ref:NM_006528.2~uORF:IOH7275	282
B01R05C06	1-6-5	Hs~Ref:NM_006528.2~uORF:IOH7275	295
B01R05C07	1-7-5	Hs~Ref:NM_017634.1~uORF:IOH22919	111
B01R05C08	1-8-5	Hs~Ref:NM_017634.1~uORF:IOH22919	94
