id	position	name	GSM2522610	GSM2522611	GSM2522612	GSM2522613	GSM2522618	GSM2522666	GSM2522667	GSM2522668	GSM2522669	GSM2522670
B01R01C01	1-1-1	AlexaAntiMouseAb~N/A	27767	29807	30726	27699	31242	38534	35281	24502	46927	39005
B01R01C02	1-2-1	AlexaAntiMouseAb~N/A	31925	29026	28238	32010	31635	34785	31349	24639	42212	34022
B01R01C03	1-3-1	ERa~N/A	1567	1538	1585	1282	1544	778	1876	714	3938	2378
B01R01C04	1-4-1	ERa~N/A	1457	1686	1565	1279	1555	769	1802	709	3841	1911
B01R01C05	1-5-1	HumanIgG1~N/A	809	658	777	781	789	1197	1076	720	917	794
B01R01C06	1-6-1	HumanIgG1~N/A	809	711	799	750	661	1195	1000	783	926	1019
B01R01C07	1-7-1	HumanIgG2~N/A	2484	2121	1952	3144	2389	5188	3026	2471	2996	2691
B01R01C08	1-8-1	HumanIgG2~N/A	2514	2166	2114	2896	2539	4487	3516	3340	2848	2998
B01R01C09	1-9-1	HumanIgG3~N/A	16660	12383	11971	12719	12329	21700	16994	12790	13132	13894
B01R01C10	1-10-1	HumanIgG3~N/A	12995	12422	12273	13211	14144	20036	17513	12798	12754	14282
B01R01C11	1-11-1	HumanIgG4~N/A	34782	38116	37860	35938	46466	62340	44614	39758	37745	43387
B01R01C12	1-12-1	HumanIgG4~N/A	30713	39278	37645	35034	46592	61273	45739	39129	40421	48747
B01R01C13	1-13-1	BiotinAb~N/A	204	314	291	234	362	428	451	285	332	265
B01R01C14	1-14-1	BiotinAb~N/A	220	286	328	181	339	450	456	302	343	302
B01R01C15	1-15-1	RanBP2deltaFG~N/A	213	1148	870	365	262	424	1416	142	965	208
B01R01C16	1-16-1	RanBP2deltaFG~N/A	213	819	888	306	249	449	1449	140	135	107
B01R01C17	1-17-1	hMDM2~N/A	1051	1074	1654	1955	957	593	5426	371	3892	737
B01R01C18	1-18-1	hMDM2~N/A	1123	837	1605	1941	863	670	5599	349	4209	755
B01R01C19	1-19-1	PKCeta~N/A	407	518	444	389	767	1844	496	313	6	413
B01R01C20	1-20-1	PKCeta~N/A	452	551	453	389	792	157	472	294	670	428
B01R01C21	1-21-1	AlexaAntiMouseAb~N/A	33235	36412	35654	31629	51401	49245	41556	32025	51808	47433
B01R01C22	1-22-1	AlexaAntiMouseAb~N/A	36112	40088	35310	33446	53684	51011	43808	29024	49840	47893
B01R02C01	1-1-2	PKCeta~N/A	1395	1133	1261	791	614	2258	1379	886	1173	1122
B01R02C02	1-2-2	PKCeta~N/A	1420	1220	1299	843	650	2214	1444	879	1230	32
B01R02C03	1-3-2	Buffer	30	465	30	122	729	36	251	157	41	185
B01R02C04	1-4-2	Buffer	781	32	61	48	10	36	342	20	51	28
B01R02C05	1-5-2	HumanIgA~N/A	21323	16890	19681	18015	15719	22811	20705	17458	20899	18420
B01R02C06	1-6-2	HumanIgA~N/A	19582	17638	18594	17671	19602	22990	20680	17717	19498	18480
B01R02C07	1-7-2	Buffer	44	29	179	48	51	871	230	14	37	43
B01R02C08	1-8-2	Buffer	41	33	-1	39	79	89	235	11	43	44
B01R02C09	1-9-2	BSA~N/A	607	55	2996	81	821	64	261	199	128	10922
B01R02C10	1-10-2	BSA~N/A	556	168	2754	76	976	22	266	169	447	11344
B01R02C11	1-11-2	Hs~MGC:NM_175877.3~uORF:IOH22866	1	-1	5	517	780	575	949	488	1898	320
B01R02C12	1-12-2	Hs~MGC:NM_175877.3~uORF:IOH22866	-2	-2	32	542	1057	587	970	529	1635	344
B01R02C13	1-13-2	Hs~MGC:NM_152728.1~uORF:IOH21580	1565	2631	1306	1372	17998	1397	2165	1743	3252	462
B01R02C14	1-14-2	Hs~MGC:NM_152728.1~uORF:IOH21580	1564	2311	1285	1286	16560	1415	2178	1749	3323	426
B01R02C15	1-15-2	Hs~MGC:BC021174.1~uORF:IOH10706	-1	-1	3	0	2177	659	16	1	1	-3
B01R02C16	1-16-2	Hs~MGC:BC021174.1~uORF:IOH10706	-2	767	0	-1	1968	2	5	2	68	-1
B01R02C17	1-17-2	Hs~MGC:BC017901.1~uORF:IOH12549	1036	911	1338	2166	1455	1275	1871	1041	3916	520
B01R02C18	1-18-2	Hs~MGC:BC017901.1~uORF:IOH12549	896	717	1250	1876	1263	1342	1923	1144	3799	489
B01R02C19	1-19-2	Hs~MGC:BC032499.1~uORF:IOH21893	-3	0	-3	670	1052	105	1656	792	2537	653
B01R02C20	1-20-2	Hs~MGC:BC032499.1~uORF:IOH21893	22	-2	0	677	1380	593	1692	680	1912	684
B01R02C21	1-21-2	Hs~Ref:NM_006399.2~uORF:IOH21626	1087	1162	2506	1529	1972	2676	1083	1195	4641	491
B01R02C22	1-22-2	Hs~Ref:NM_006399.2~uORF:IOH21626	972	1055	2354	1434	2129	2593	1064	1178	3269	414
B01R03C01	1-1-3	Hs~MGC:BC032302.1~uORF:IOH21655	688	702	1057	528	499	734	1169	527	1436	352
B01R03C02	1-2-3	Hs~MGC:BC032302.1~uORF:IOH21655	697	675	1124	561	514	777	1172	539	1490	283
B01R03C03	1-3-3	Hs~Ref:NM_007254.2~uORF:IOH21884	5492	4237	3594	3481	5027	5436	10347	2760	5158	3803
B01R03C04	1-4-3	Hs~Ref:NM_007254.2~uORF:IOH21884	5173	3872	3481	3605	4520	5393	9804	2804	5569	4297
B01R03C05	1-5-3	Hs~Ref:NM_000993.2~uORF:IOH14051	-1	41	3	1091	832	1622	9340	1132	2991	1684
B01R03C06	1-6-3	Hs~Ref:NM_000993.2~uORF:IOH14051	4	-3	7	1087	689	1834	9457	1189	2978	1836
B01R03C07	1-7-3	Hs~Ref:NM_002413.3~uORF:IOH13576	566	561	709	364	564	581	762	451	1141	365
B01R03C08	1-8-3	Hs~Ref:NM_002413.3~uORF:IOH13576	584	557	727	368	522	618	815	489	1147	402
B01R03C09	1-9-3	Hs~Ref:NM_004450.1~uORF:IOH14288	4012	2105	3069	2159	3086	3572	8717	2722	5814	796
B01R03C10	1-10-3	Hs~Ref:NM_004450.1~uORF:IOH14288	3740	1797	2929	1956	4291	3596	8576	2657	5357	1518
B01R03C11	1-11-3	Hs~MGC:BC012766.1~uORF:IOH13844	1274	796	1410	287	803	452	663	410	852	132
B01R03C12	1-12-3	Hs~MGC:BC012766.1~uORF:IOH13844	962	811	1173	283	879	540	671	371	741	135
B01R03C13	1-13-3	Hs~MGC:BC015883.1~uORF:IOH10061	473	374	610	311	426	692	849	353	722	265
B01R03C14	1-14-3	Hs~MGC:BC015883.1~uORF:IOH10061	455	419	559	342	329	617	827	364	787	254
B01R03C15	1-15-3	Hs~MGC:BC016295.1~uORF:IOH10091	1029	1219	1068	915	6158	1666	3742	915	2167	620
B01R03C16	1-16-3	Hs~MGC:BC016295.1~uORF:IOH10091	963	1135	982	615	5542	1726	3649	914	2273	576
B01R03C17	1-17-3	Hs~MGC:BC015803.1~uORF:IOH10126	2688	1345	1627	1261	1381	1415	2042	1331	2242	2183
B01R03C18	1-18-3	Hs~MGC:BC015803.1~uORF:IOH10126	2514	1247	1627	1196	1320	1380	2001	1375	2170	2157
B01R03C19	1-19-3	Hs~Ref:NM_004865.2~uORF:IOH10084	2114	1143	1503	886	591	1301	7228	774	2644	509
B01R03C20	1-20-3	Hs~Ref:NM_004865.2~uORF:IOH10084	1996	1107	1419	874	628	1332	6807	803	2404	531
B01R03C21	1-21-3	Hs~MGC:BC018732.1~uORF:IOH14058	-3	-5	-2	-1	1926	1386	2062	1307	3566	1152
B01R03C22	1-22-3	Hs~MGC:BC018732.1~uORF:IOH14058	-3	-4	-5	-3	2090	1354	2122	1224	2806	1050
B01R04C01	1-1-4	Hs~MGC:BC024281.1~uORF:IOH14073	1602	1036	1499	691	1547	1482	1025	761	2621	508
B01R04C02	1-2-4	Hs~MGC:BC024281.1~uORF:IOH14073	1592	968	1425	709	1526	1532	1014	759	2433	630
B01R04C03	1-3-4	Hs~MGC:BC007658.1~uORF:IOH5956	750	1060	1042	653	545	845	5842	901	1655	2232
B01R04C04	1-4-4	Hs~MGC:BC007658.1~uORF:IOH5956	696	960	1057	590	527	879	5792	945	1603	738
B01R04C05	1-5-4	Hs~Ref:NM_145252.1~uORF:IOH9864	5291	22786	3690	6505	3424	2793	3247	1275	5560	560
B01R04C06	1-6-4	Hs~Ref:NM_145252.1~uORF:IOH9864	4819	20510	3746	6041	3278	3067	3362	1264	5339	1016
B01R04C07	1-7-4	Hs~MGC:BC011923.1~uORF:IOH13453	1468	778	1433	666	868	848	3127	1401	1954	549
B01R04C08	1-8-4	Hs~MGC:BC011923.1~uORF:IOH13453	1407	777	1364	659	890	887	3012	746	1929	533
B01R04C09	1-9-4	Hs~Ref:NM_020530.2~uORF:IOH13456	2567	1722	2112	1287	1858	1614	7093	1379	6870	951
B01R04C10	1-10-4	Hs~Ref:NM_020530.2~uORF:IOH13456	2497	1618	2078	1357	2084	1550	6771	1252	6296	749
B01R04C11	1-11-4	Hs~Ref:NM_022720.2~uORF:IOH12840	1455	775	921	588	1718	742	1448	1012	2207	353
B01R04C12	1-12-4	Hs~Ref:NM_022720.2~uORF:IOH12840	1284	719	982	600	1855	800	1447	1039	2115	308
B01R04C13	1-13-4	Hs~Ref:NM_145042.1~uORF:IOH13383	1707	1450	1727	1042	1702	1430	2646	1084	2904	691
B01R04C14	1-14-4	Hs~Ref:NM_145042.1~uORF:IOH13383	1621	1370	1638	1071	1673	1434	2312	1107	3122	767
B01R04C15	1-15-4	Hs~Ref:NM_007173.3~uORF:IOH3271	381	311	475	382	332	445	639	364	754	145
B01R04C16	1-16-4	Hs~Ref:NM_007173.3~uORF:IOH3271	350	325	466	407	313	411	732	337	764	197
B01R04C17	1-17-4	Hs~Ref:NM_016034.2~uORF:IOH6982	975	830	796	449	530	824	1127	719	1671	461
B01R04C18	1-18-4	Hs~Ref:NM_016034.2~uORF:IOH6982	899	937	840	543	521	665	1111	679	2292	483
B01R04C19	1-19-4	Hs~Ref:NM_025083.2~uORF:IOH9818	1713	1273	1203	1519	1057	1414	8835	2192	4348	485
B01R04C20	1-20-4	Hs~Ref:NM_025083.2~uORF:IOH9818	1520	1227	1119	1403	1108	1373	8788	2162	4109	468
B01R04C21	1-21-4	Hs~MGC:BC011553.1~uORF:IOH12716	542	613	637	461	396	551	932	494	539	426
B01R04C22	1-22-4	Hs~MGC:BC011553.1~uORF:IOH12716	527	591	612	457	398	559	936	499	1362	493
