name	description	GSM2522610	GSM2522611	GSM2522612	GSM2522613	GSM2522618	GSM2522666	GSM2522667	GSM2522668	GSM2522669	GSM2522670
Hs~MGC:AB065662.1~uORF:IOH28287	olfactory receptor, family 6, subfamily B, member 3 (OR6B3), mRNA	646.5	547.5	871.0	772.0	540.0	769.5	1170.0	871.0	1746.5	429.5
Hs~MGC:AB065755.1~uORF:IOH28258	olfactory receptor, family 10, subfamily G, member 8 (OR10G8), mRNA	915.5	769.5	1098.0	672.0	760.0	805.5	1603.5	785.0	2183.5	433.0
Hs~MGC:BC000001.1~uORF:IOH4593	chitinase domain containing 1 (CHID1)	1428.0	386.0	863.5	484.5	311.0	641.5	1007.5	536.0	821.0	286.5
Hs~MGC:BC000026.1~uORF:IOH4716	1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta) (AGPAT2)	429.5	386.5	723.5	317.0	234.0	710.0	639.5	455.5	716.5	147.0
Hs~MGC:BC000029.2~uORF:IOH4750	Phosphatidylinositol 4-kinase beta	535.5	511.0	607.0	413.5	682.5	514.5	742.0	548.5	758.5	280.5
Hs~MGC:BC000043.1~uORF:IOH4765	ADP-ribosylation factor-like 4D (ARL4D)	802.5	1046.0	785.5	842.5	506.5	828.0	1865.0	579.5	1339.5	357.5
Hs~MGC:BC000044.1~uORF:IOH4604	Spindlin-2B	4957.0	2503.5	4663.0	2595.5	4841.5	2184.0	16473.5	2361.0	4801.5	1660.5
Hs~MGC:BC000052.1~uORF:IOH4650	peroxisome proliferator-activated receptor alpha (PPARA)	1169.0	584.5	1182.5	542.0	523.5	583.5	1528.0	537.0	1477.0	487.5
Hs~MGC:BC000082.1~uORF:IOH4680	Arsenite-resistance protein 2	790.0	583.0	943.0	470.5	631.5	756.5	1276.0	621.0	1059.5	367.5
Hs~MGC:BC000084.1~uORF:IOH4697	Protein SOLO	1212.5	851.0	1064.5	735.5	831.0	1784.0	1915.5	932.5	2858.5	501.5
Hs~MGC:BC000091.1~uORF:IOH4587	ATG7 autophagy related 7 homolog (S. cerevisiae) (ATG7)	763.0	751.5	766.0	414.5	545.5	581.0	865.0	516.5	1733.5	297.5
Hs~MGC:BC000103.1~uORF:IOH4659	NCK adaptor protein 2 (NCK2)	5640.5	1644.0	3078.5	1473.5	2487.0	3187.0	2901.5	3108.5	6072.5	1503.5
Hs~MGC:BC000108.1~uORF:IOH4735	WW domain containing E3 ubiquitin protein ligase 2 (WWP2)	1502.5	5178.5	2528.5	1512.0	2226.0	3120.0	3038.5	1912.0	5954.5	2886.0
Hs~MGC:BC000112.1~uORF:IOH4632	retinol dehydrogenase 11 (all-trans/9-cis/11-cis) (RDH11)	931.0	722.0	1859.5	778.0	980.0	960.5	1241.5	965.0	2299.5	385.5
Hs~MGC:BC000116.1~uORF:IOH4364	KIAA0174 (KIAA0174)	1281.0	2174.5	2933.5	1252.5	1502.5	1346.0	3003.5	1441.0	2600.5	911.0
Hs~MGC:BC000120.1~uORF:IOH4407	general transcription factor IIF, polypeptide 1, 74kDa (GTF2F1)	1034.0	669.0	2723.0	2394.0	1015.0	3401.5	5487.5	2329.5	1974.0	300.5
Hs~MGC:BC000132.2~uORF:IOH2877	centrosomal protein 72kDa (CEP72)	1059.0	968.0	1080.5	447.0	727.5	661.0	793.5	922.5	1859.5	385.5
Hs~MGC:BC000157.2~uORF:IOH2943	zinc finger protein 691 (ZNF691)	3486.5	2405.5	2323.5	971.5	1072.5	1582.5	6389.0	853.0	2184.5	715.0
Hs~MGC:BC000162.2~uORF:IOH2911	serine/threonine kinase receptor associated protein (STRAP)	731.0	626.5	770.0	585.5	618.0	1094.5	1016.5	430.0	1024.5	393.0
Hs~MGC:BC000166.2~uORF:IOH2928	HIV-1 Tat interacting protein, 60kDa (HTATIP)	5808.5	3649.5	3491.5	7653.0	2341.5	2516.5	6345.0	1712.5	6791.5	1291.5
Hs~MGC:BC000175.2~uORF:IOH2926	Hermansky-Pudlak syndrome 1 (HPS1)	993.5	583.5	1458.5	665.0	1050.5	727.0	1126.0	906.5	1631.0	103.0
Hs~MGC:BC000177.2~uORF:IOH2886	DnaJ (Hsp40) homolog, subfamily B, member 6 (DNAJB6)	-1.0	8.5	41.5	63.0	2042.0	553.5	576.5	651.5	1092.5	282.0
Hs~MGC:BC000190.1~uORF:IOH4410	zinc finger, C3HC-type containing 1 (ZC3HC1)	1199.5	1317.5	1975.5	663.0	730.5	1572.5	7344.5	2503.0	2151.0	537.0
Hs~MGC:BC000201.1~uORF:IOH4385	WD repeat domain 1 (WDR1)	278.5	396.5	539.0	356.0	452.5	577.0	584.0	428.0	712.5	116.0
Hs~MGC:BC000208.1~uORF:IOH4373	OTU domain, ubiquitin aldehyde binding 2 (OTUB2)	1371.5	914.5	1768.0	692.5	1242.0	810.0	1544.0	1011.5	2815.5	483.0
Hs~MGC:BC000226.1~uORF:IOH4362	ubiquitin specific peptidase 47 (USP47)	699.5	351.5	495.5	610.0	314.5	595.5	691.5	437.5	684.0	175.0
Hs~MGC:BC000226.1~uORF:IOH46086	ubiquitin specific peptidase 47 (USP47)	975.5	444.5	611.5	1906.0	357.0	861.5	765.5	552.0	1207.5	223.0
Hs~MGC:BC000232.1~uORF:IOH62785	Receptor expression-enhancing protein 5	298.0	974.5	419.5	288.0	424.5	218.0	457.5	335.5	483.5	-40.5
Hs~MGC:BC000238.1~uORF:IOH4394	ankyrin repeat and zinc finger domain containing 1 (ANKZF1)	2926.5	1043.0	1971.5	903.5	1014.0	1413.5	2468.5	860.0	2302.0	3932.0
Hs~MGC:BC000247.1~uORF:IOH4476	THAP domain containing 4 (THAP4)	464.0	246.0	324.0	305.5	2731.0	899.5	341.0	260.5	427.5	61.0
Hs~MGC:BC000250.1~uORF:IOH4515	non-metastatic cells 3, protein expressed in (NME3)	924.5	324.5	2101.0	336.0	599.0	682.5	3231.0	1223.0	1208.0	195.5
Hs~MGC:BC000251.1~N/A	Glycogen synthase kinase-3 beta	513.5	198.5	359.0	266.5	172.5	263.0	443.5	281.5	1049.5	52.0
Hs~MGC:BC000284.1~uORF:IOH4482	golgi associated, gamma adaptin ear containing, ARF binding protein 2 (GGA2)	718.5	881.0	1478.0	1970.0	2877.5	847.0	2712.0	2355.5	1893.0	112.0
Hs~MGC:BC000288.1~uORF:IOH3404	CCHC-type zinc finger, nucleic acid binding protein (CNBP)	2937.0	2347.0	2362.0	1549.0	2087.5	2540.0	11790.0	60274.5	4000.5	22.0
Hs~MGC:BC000306.1~uORF:IOH3456	hydroxyacyl-Coenzyme A dehydrogenase (HADH)	2656.5	2715.5	1403.5	1861.0	930.5	1876.5	5706.0	4366.0	2159.0	422.0
Hs~MGC:BC000313.1~uORF:IOH3491	nucleolar protein 4, mRNA (cDNA clone MGC:8430 IMAGE:2821116), complete cds	2029.0	1165.5	1727.0	2793.0	1403.0	1202.5	2218.0	1793.0	3155.5	619.5
Hs~MGC:BC000314.1~uORF:IOH3485	Reticulon-1	368.5	508.5	457.0	335.0	214.5	608.5	453.0	428.5	801.0	186.0
Hs~MGC:BC000331.1~uORF:IOH3559	proteasome (prosome, macropain) subunit, beta type, 4 (PSMB4)	1828.5	976.0	1684.5	917.0	1462.5	2011.5	1627.0	1245.5	2743.5	579.5
Hs~MGC:BC000337.2~uORF:IOH3577	glucose-6-phosphate dehydrogenase (G6PD)	930.0	1916.0	2646.5	1808.0	721.5	1726.0	1150.5	843.0	5339.0	805.5
Hs~MGC:BC000381.2~uORF:IOH3454	TBP-like 1 (TBPL1)	3681.0	1660.5	2748.5	1966.0	1249.5	2505.5	22288.5	1830.0	3273.0	647.5
Hs~MGC:BC000395.1~uORF:IOH3542	LETM1 domain-containing protein 1	413.5	708.5	519.5	308.0	287.5	476.0	504.0	339.0	629.0	272.0
Hs~MGC:BC000412.1~uORF:IOH3631	coiled-coil domain containing 106 (CCDC106)	2936.5	1252.0	1880.0	1241.0	3303.0	2725.0	6394.0	1350.0	3233.5	727.5
