name	description	median_diff
Hs~Ref:NM_002031.1~CAT:PV3874	Tyrosine-protein kinase FRK	64852.5
Hs~Ref:NM_004912.3~uORF:IOH38232	KRIT1, ankyrin repeat containing (KRIT1), transcript variant 2	58746.0
Hs~Ref:NM_000294.1~uORF:IOH4032	phosphorylase kinase, gamma 2 (testis)	27897.5
Hs~Ref:NM_144606.1~uORF:IOH12359	folliculin (FLCN), transcript variant 2	21974.0
Hs~Ref:NM_203284.1~uORF:IOH39978	recombination signal binding protein for immunoglobulin kappa J region (RBPJ), transcript variant 4	20954.5
Hs~Ref:NM_004760.1~CAT:PV3783	serine/threonine kinase 17a (STK17A)	20804.5
Hs~MGC:BC032452.1~uORF:IOH21664	immunoglobulin lambda locus (IGL@)	17382.0
Hs~Ref:NM_144716.1~uORF:IOH13356	coiled-coil domain containing 12 (CCDC12)	16696.5
Hs~Ref:NM_024316.1~uORF:IOH12150	leukocyte receptor cluster (LRC) member 1 (LENG1)	16088.5
Hs~Ref:NM_003636.1~uORF:IOH29625	potassium voltage-gated channel, shaker-related subfamily, beta member 2 (KCNAB2), transcript variant 1	15147.0
Hs~MGC:BC030984.1~uORF:IOH23182	cDNA clone MGC:32654 IMAGE:4701898, complete cds	14970.5
Hs~MGC:BC064612.1~uORF:IOH39905	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6 (MLLT6)	14391.5
Hs~MGC:BC092518.1~uORF:IOH62695	Ig gamma-1 chain C region	13711.5
Hs~MGC:BC030983.1~uORF:IOH23183	immunoglobulin lambda locus (IGL@)	13540.5
Hs~Ref:NM_145010.1~uORF:IOH10871	chromosome 10 open reading frame 63 (C10orf63)	10456.5
Hs~MGC:BC016380.1~uORF:IOH23077	cDNA clone MGC:27376 IMAGE:4688477, complete cds	10406.0
Hs~MGC:BC072461.1~uORF:IOH62565	Cysteine and histidine-rich domain-containing protein 1	10112.0
Hs~MGC:BC011600.1~uORF:IOH13680	cDNA clone IMAGE:3050953, **** WARNING: chimeric clone ****	10097.5
Hs~Ref:NM_006651.2~uORF:IOH4343	complexin 1 (CPLX1)	9973.5
Hs~MGC:BC066948.1~uORF:IOH61473	Ubiquitin-conjugating enzyme E2 S	9716.0
Hs~Ref:NM_007284.1~uORF:IOH5114	twinfilin, actin-binding protein, homolog 2 (Drosophila) (TWF2)	9427.5
Hs~MGC:BC001304.1~uORF:IOH45994	piccolo (presynaptic cytomatrix protein) (PCLO)	9383.5
Hs~MGC:BC041037.1~uORF:IOH28003	immunoglobulin heavy constant mu (IGHM)	9264.5
Hs~MGC:BC090938.1~uORF:IOH62696	Ig gamma-1 chain C region	9228.0
Hs~Ref:NM_002904.4~uORF:IOH14621	RD RNA binding protein (RDBP)	9092.5
Hs~Ref:NM_004888.2~uORF:IOH7535	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G1 (ATP6V1G1)	8396.5
Hs~MGC:BC096245.1~uORF:IOH63235	Activin receptor type-2B	8063.0
Hs~Ref:NM_001106.2~N/A	Activin receptor type-2B	8022.0
Hs~MGC:BC003065.1~N/A	Cell division protein kinase 2	7924.0
Hs~MGC:BC012876.1~uORF:IOH10177	Ig lambda chain C regions	7775.0
Hs~Ref:NM_199183.1~uORF:IOH60515	Putative testis serine protease 5	7680.5
Hs~MGC:BC093990.1~uORF:IOH62017	Sin3 histone deacetylase corepressor complex component SDS3	7633.0
Hs~Ref:NM_002822.1~uORF:IOH25866	Twinfilin-1	7063.0
Hs~MGC:BC033777.2~uORF:IOH21769	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 8 (ALS2CR8)	7037.0
Hs~Ref:NM_004699.1~uORF:IOH4655	family with sequence similarity 50, member A (FAM50A)	7001.5
Hs~Ref:NM_201403.1~uORF:IOH42184	MOB1, Mps One Binder kinase activator-like 2C (yeast) (MOBKL2C), transcript variant 2	6987.5
Hs~Ref:NM_005522.3~uORF:IOH21992	homeobox A1 (HOXA1), transcript variant 1	6980.5
Hs~Ref:NM_198501.1~uORF:IOH43320	Smoothelin-like protein 2	6912.0
Hs~MGC:BC024289.1~uORF:IOH14745	interferon, alpha-inducible protein 6 (IFI6)	6877.0
Hs~Ref:NM_007177.1~uORF:IOH10203	Protein FAM107A	6759.0
Hs~Ref:NM_001616.2~N/A	Activin receptor type-2A	6724.5
Hs~MGC:BC072419.1~uORF:IOH62555	Ig gamma-1 chain C region	6591.5
Hs~MGC:BC020555.1~uORF:IOH10305	SERPINE1 mRNA binding protein 1 (SERBP1)	6340.0
Hs~Ref:NM_152716.1~uORF:IOH38079	FLJ36874 protein (FLJ36874)	6263.5
