id	description	uniprotIDs	ncbiIDs
B01R02C11	hypothetical protein MGC35023 (MGC35023)	Q8N5R8	NM_175877.3
B01R02C12	hypothetical protein MGC35023 (MGC35023)	Q8N5R8	NM_175877.3
B01R02C13	Uncharacterized protein C18orf20	Q7Z4B0	NM_152728.1
B01R02C14	Uncharacterized protein C18orf20	Q7Z4B0	NM_152728.1
B01R02C17	phospholipid scramblase 1 (PLSCR1)	O15162	NM_021105.1,BC017901.1
B01R02C18	phospholipid scramblase 1 (PLSCR1)	O15162	NM_021105.1,BC017901.1
B01R02C19	globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (GBGT1)	Q8N5D6	BC032499.1
B01R02C20	globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (GBGT1)	Q8N5D6	BC032499.1
B01R02C21	basic leucine zipper transcription factor, ATF-like (BATF)	Q16520	NM_006399.2
B01R02C22	basic leucine zipper transcription factor, ATF-like (BATF)	Q16520	NM_006399.2
B01R03C01	UDP-glucose ceramide glucosyltransferase-like 2 (UGCGL2)	Q9NYU1	BC032302.1
B01R03C02	UDP-glucose ceramide glucosyltransferase-like 2 (UGCGL2)	Q9NYU1	BC032302.1
B01R03C03	polynucleotide kinase 3'-phosphatase (PNKP)	Q96T60	NM_007254.2
B01R03C04	polynucleotide kinase 3'-phosphatase (PNKP)	Q96T60	NM_007254.2
B01R03C05	ribosomal protein L31 (RPL31), transcript variant 1	P62899	NM_000993.2
B01R03C06	ribosomal protein L31 (RPL31), transcript variant 1	P62899	NM_000993.2
B01R03C07	microsomal glutathione S-transferase 2 (MGST2)	Q99735	NM_002413.3
B01R03C08	microsomal glutathione S-transferase 2 (MGST2)	Q99735	NM_002413.3
B01R03C09	enhancer of rudimentary homolog (Drosophila) (ERH)	P84090	NM_004450.1
B01R03C10	enhancer of rudimentary homolog (Drosophila) (ERH)	P84090	NM_004450.1
B01R03C11	endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1 (ERGIC1)	Q969X5	BC012766.1
B01R03C12	endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1 (ERGIC1)	Q969X5	BC012766.1
B01R03C13	tubulin, alpha 1b (TUBA1B)	P68363	BC015883.1
B01R03C14	tubulin, alpha 1b (TUBA1B)	P68363	BC015883.1
B01R03C15	eukaryotic translation initiation factor 4A, isoform 2 (EIF4A2)	Q14240	BC015842.1,BC013708.1,BC016295.1,BC012547.1
B01R03C16	eukaryotic translation initiation factor 4A, isoform 2 (EIF4A2)	Q14240	BC015842.1,BC013708.1,BC016295.1,BC012547.1
B01R03C17	interferon regulatory factor 2 (IRF2)	P14316	BC015803.1
B01R03C18	interferon regulatory factor 2 (IRF2)	P14316	BC015803.1
B01R03C19	TBP-like 1 (TBPL1)	P62380	BC000381.2,NM_004865.2
B01R03C20	TBP-like 1 (TBPL1)	P62380	BC000381.2,NM_004865.2
B01R03C21	cytochrome b5 reductase 1 (CYB5R1)	Q9UHQ9	BC018732.1
B01R03C22	cytochrome b5 reductase 1 (CYB5R1)	Q9UHQ9	BC018732.1
B01R04C01	RAB, member of RAS oncogene family-like 2B (RABL2B)	Q9UNT1	BC020495.1,BC024281.1
B01R04C02	RAB, member of RAS oncogene family-like 2B (RABL2B)	Q9UNT1	BC020495.1,BC024281.1
B01R04C03	BCL2-like 13 (apoptosis facilitator) (BCL2L13)	Q9BXK5	BC007658.1
B01R04C04	BCL2-like 13 (apoptosis facilitator) (BCL2L13)	Q9BXK5	BC007658.1
B01R04C05	similar to common salivary protein 1 (LOC124220)	Q96DA0	NM_145252.1
B01R04C06	similar to common salivary protein 1 (LOC124220)	Q96DA0	NM_145252.1
B01R04C07	RNA binding motif protein 33 (RBM33)	Q96EV2	BC011923.1
B01R04C08	RNA binding motif protein 33 (RBM33)	Q96EV2	BC011923.1
B01R04C09	oncostatin M (OSM)	P13725	NM_020530.2
B01R04C10	oncostatin M (OSM)	P13725	NM_020530.2
B01R04C11	DiGeorge syndrome critical region gene 8 (DGCR8)	Q8WYQ5	NM_022720.5
