id	position	name	GSM2522610	GSM2522611	GSM2522612	GSM2522613	GSM2522618	GSM2522666	GSM2522667	GSM2522668	GSM2522669	GSM2522670	description
B01R02C11	1-11-2	Hs~MGC:NM_175877.3~uORF:IOH22866	1	-1	5	517	780	575	949	488	1898	320	hypothetical protein MGC35023 (MGC35023)
B01R02C12	1-12-2	Hs~MGC:NM_175877.3~uORF:IOH22866	-2	-2	32	542	1057	587	970	529	1635	344	hypothetical protein MGC35023 (MGC35023)
B01R02C13	1-13-2	Hs~MGC:NM_152728.1~uORF:IOH21580	1565	2631	1306	1372	17998	1397	2165	1743	3252	462	Uncharacterized protein C18orf20
B01R02C14	1-14-2	Hs~MGC:NM_152728.1~uORF:IOH21580	1564	2311	1285	1286	16560	1415	2178	1749	3323	426	Uncharacterized protein C18orf20
B01R02C15	1-15-2	Hs~MGC:BC021174.1~uORF:IOH10706	-1	-1	3	0	2177	659	16	1	1	-3	Small EDRK-rich factor 1
B01R02C16	1-16-2	Hs~MGC:BC021174.1~uORF:IOH10706	-2	767	0	-1	1968	2	5	2	68	-1	Small EDRK-rich factor 1
B01R02C17	1-17-2	Hs~MGC:BC017901.1~uORF:IOH12549	1036	911	1338	2166	1455	1275	1871	1041	3916	520	phospholipid scramblase 1 (PLSCR1)
B01R02C18	1-18-2	Hs~MGC:BC017901.1~uORF:IOH12549	896	717	1250	1876	1263	1342	1923	1144	3799	489	phospholipid scramblase 1 (PLSCR1)
B01R02C19	1-19-2	Hs~MGC:BC032499.1~uORF:IOH21893	-3	0	-3	670	1052	105	1656	792	2537	653	globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (GBGT1)
B01R02C20	1-20-2	Hs~MGC:BC032499.1~uORF:IOH21893	22	-2	0	677	1380	593	1692	680	1912	684	globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (GBGT1)
B01R02C21	1-21-2	Hs~Ref:NM_006399.2~uORF:IOH21626	1087	1162	2506	1529	1972	2676	1083	1195	4641	491	basic leucine zipper transcription factor, ATF-like (BATF)
B01R02C22	1-22-2	Hs~Ref:NM_006399.2~uORF:IOH21626	972	1055	2354	1434	2129	2593	1064	1178	3269	414	basic leucine zipper transcription factor, ATF-like (BATF)
B01R03C01	1-1-3	Hs~MGC:BC032302.1~uORF:IOH21655	688	702	1057	528	499	734	1169	527	1436	352	UDP-glucose ceramide glucosyltransferase-like 2 (UGCGL2)
B01R03C02	1-2-3	Hs~MGC:BC032302.1~uORF:IOH21655	697	675	1124	561	514	777	1172	539	1490	283	UDP-glucose ceramide glucosyltransferase-like 2 (UGCGL2)
B01R03C03	1-3-3	Hs~Ref:NM_007254.2~uORF:IOH21884	5492	4237	3594	3481	5027	5436	10347	2760	5158	3803	polynucleotide kinase 3'-phosphatase (PNKP)
B01R03C04	1-4-3	Hs~Ref:NM_007254.2~uORF:IOH21884	5173	3872	3481	3605	4520	5393	9804	2804	5569	4297	polynucleotide kinase 3'-phosphatase (PNKP)
B01R03C05	1-5-3	Hs~Ref:NM_000993.2~uORF:IOH14051	-1	41	3	1091	832	1622	9340	1132	2991	1684	ribosomal protein L31 (RPL31), transcript variant 1
B01R03C06	1-6-3	Hs~Ref:NM_000993.2~uORF:IOH14051	4	-3	7	1087	689	1834	9457	1189	2978	1836	ribosomal protein L31 (RPL31), transcript variant 1
B01R03C07	1-7-3	Hs~Ref:NM_002413.3~uORF:IOH13576	566	561	709	364	564	581	762	451	1141	365	microsomal glutathione S-transferase 2 (MGST2)
B01R03C08	1-8-3	Hs~Ref:NM_002413.3~uORF:IOH13576	584	557	727	368	522	618	815	489	1147	402	microsomal glutathione S-transferase 2 (MGST2)
B01R03C09	1-9-3	Hs~Ref:NM_004450.1~uORF:IOH14288	4012	2105	3069	2159	3086	3572	8717	2722	5814	796	enhancer of rudimentary homolog (Drosophila) (ERH)
B01R03C10	1-10-3	Hs~Ref:NM_004450.1~uORF:IOH14288	3740	1797	2929	1956	4291	3596	8576	2657	5357	1518	enhancer of rudimentary homolog (Drosophila) (ERH)
B01R03C11	1-11-3	Hs~MGC:BC012766.1~uORF:IOH13844	1274	796	1410	287	803	452	663	410	852	132	endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1 (ERGIC1)
B01R03C12	1-12-3	Hs~MGC:BC012766.1~uORF:IOH13844	962	811	1173	283	879	540	671	371	741	135	endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1 (ERGIC1)
B01R03C13	1-13-3	Hs~MGC:BC015883.1~uORF:IOH10061	473	374	610	311	426	692	849	353	722	265	tubulin, alpha 1b (TUBA1B)
B01R03C14	1-14-3	Hs~MGC:BC015883.1~uORF:IOH10061	455	419	559	342	329	617	827	364	787	254	tubulin, alpha 1b (TUBA1B)
B01R03C15	1-15-3	Hs~MGC:BC016295.1~uORF:IOH10091	1029	1219	1068	915	6158	1666	3742	915	2167	620	eukaryotic translation initiation factor 4A, isoform 2 (EIF4A2)
B01R03C16	1-16-3	Hs~MGC:BC016295.1~uORF:IOH10091	963	1135	982	615	5542	1726	3649	914	2273	576	eukaryotic translation initiation factor 4A, isoform 2 (EIF4A2)
B01R03C17	1-17-3	Hs~MGC:BC015803.1~uORF:IOH10126	2688	1345	1627	1261	1381	1415	2042	1331	2242	2183	interferon regulatory factor 2 (IRF2)
B01R03C18	1-18-3	Hs~MGC:BC015803.1~uORF:IOH10126	2514	1247	1627	1196	1320	1380	2001	1375	2170	2157	interferon regulatory factor 2 (IRF2)
B01R03C19	1-19-3	Hs~Ref:NM_004865.2~uORF:IOH10084	2114	1143	1503	886	591	1301	7228	774	2644	509	TBP-like 1 (TBPL1)
B01R03C20	1-20-3	Hs~Ref:NM_004865.2~uORF:IOH10084	1996	1107	1419	874	628	1332	6807	803	2404	531	TBP-like 1 (TBPL1)
B01R03C21	1-21-3	Hs~MGC:BC018732.1~uORF:IOH14058	-3	-5	-2	-1	1926	1386	2062	1307	3566	1152	cytochrome b5 reductase 1 (CYB5R1)
B01R03C22	1-22-3	Hs~MGC:BC018732.1~uORF:IOH14058	-3	-4	-5	-3	2090	1354	2122	1224	2806	1050	cytochrome b5 reductase 1 (CYB5R1)
B01R04C01	1-1-4	Hs~MGC:BC024281.1~uORF:IOH14073	1602	1036	1499	691	1547	1482	1025	761	2621	508	RAB, member of RAS oncogene family-like 2B (RABL2B)
B01R04C02	1-2-4	Hs~MGC:BC024281.1~uORF:IOH14073	1592	968	1425	709	1526	1532	1014	759	2433	630	RAB, member of RAS oncogene family-like 2B (RABL2B)
B01R04C03	1-3-4	Hs~MGC:BC007658.1~uORF:IOH5956	750	1060	1042	653	545	845	5842	901	1655	2232	BCL2-like 13 (apoptosis facilitator) (BCL2L13)
B01R04C04	1-4-4	Hs~MGC:BC007658.1~uORF:IOH5956	696	960	1057	590	527	879	5792	945	1603	738	BCL2-like 13 (apoptosis facilitator) (BCL2L13)
B01R04C05	1-5-4	Hs~Ref:NM_145252.1~uORF:IOH9864	5291	22786	3690	6505	3424	2793	3247	1275	5560	560	similar to common salivary protein 1 (LOC124220)
B01R04C06	1-6-4	Hs~Ref:NM_145252.1~uORF:IOH9864	4819	20510	3746	6041	3278	3067	3362	1264	5339	1016	similar to common salivary protein 1 (LOC124220)
B01R04C07	1-7-4	Hs~MGC:BC011923.1~uORF:IOH13453	1468	778	1433	666	868	848	3127	1401	1954	549	RNA binding motif protein 33 (RBM33)
B01R04C08	1-8-4	Hs~MGC:BC011923.1~uORF:IOH13453	1407	777	1364	659	890	887	3012	746	1929	533	RNA binding motif protein 33 (RBM33)
B01R04C09	1-9-4	Hs~Ref:NM_020530.2~uORF:IOH13456	2567	1722	2112	1287	1858	1614	7093	1379	6870	951	oncostatin M (OSM)
B01R04C10	1-10-4	Hs~Ref:NM_020530.2~uORF:IOH13456	2497	1618	2078	1357	2084	1550	6771	1252	6296	749	oncostatin M (OSM)
B01R04C11	1-11-4	Hs~Ref:NM_022720.2~uORF:IOH12840	1455	775	921	588	1718	742	1448	1012	2207	353	DiGeorge syndrome critical region gene 8 (DGCR8)
B01R04C12	1-12-4	Hs~Ref:NM_022720.2~uORF:IOH12840	1284	719	982	600	1855	800	1447	1039	2115	308	DiGeorge syndrome critical region gene 8 (DGCR8)
B01R04C13	1-13-4	Hs~Ref:NM_145042.1~uORF:IOH13383	1707	1450	1727	1042	1702	1430	2646	1084	2904	691	Tubulin alpha-3 chain
B01R04C14	1-14-4	Hs~Ref:NM_145042.1~uORF:IOH13383	1621	1370	1638	1071	1673	1434	2312	1107	3122	767	Tubulin alpha-3 chain
B01R04C15	1-15-4	Hs~Ref:NM_007173.3~uORF:IOH3271	381	311	475	382	332	445	639	364	754	145	protease, serine, 23 (PRSS23)
B01R04C16	1-16-4	Hs~Ref:NM_007173.3~uORF:IOH3271	350	325	466	407	313	411	732	337	764	197	protease, serine, 23 (PRSS23)
B01R04C17	1-17-4	Hs~Ref:NM_016034.2~uORF:IOH6982	975	830	796	449	530	824	1127	719	1671	461	mitochondrial ribosomal protein S2 (MRPS2), nuclear gene encoding mitochondrial protein
B01R04C18	1-18-4	Hs~Ref:NM_016034.2~uORF:IOH6982	899	937	840	543	521	665	1111	679	2292	483	mitochondrial ribosomal protein S2 (MRPS2), nuclear gene encoding mitochondrial protein
B01R04C19	1-19-4	Hs~Ref:NM_025083.2~uORF:IOH9818	1713	1273	1203	1519	1057	1414	8835	2192	4348	485	enhancer of mRNA decapping 3 homolog (S. cerevisiae) (EDC3)
B01R04C20	1-20-4	Hs~Ref:NM_025083.2~uORF:IOH9818	1520	1227	1119	1403	1108	1373	8788	2162	4109	468	enhancer of mRNA decapping 3 homolog (S. cerevisiae) (EDC3)
