name	description	pvalue
Hs~Ref:NM_130389.2~uORF:IOH59768	Tripartite motif-containing protein 34	8.677855535687002e-05
Hs~Ref:NM_031483.3~uORF:IOH52904	E3 ubiquitin-protein ligase Itchy homolog	0.00019748728751182976
Hs~Ref:NM_001007534.1~uORF:IOH59764	Putative uncharacterized protein C3orf56	0.0002554503050745648
Hs~MGC:BC002752.1~uORF:IOH5351	chromosome 11 open reading frame 67 (C11orf67)	0.0010189850318339418
Hs~MGC:BC045626.1~uORF:IOH27484	Homeobox protein PKNOX2	0.0013034352641916106
Hs~Ref:NM_006611.1~uORF:IOH40369	killer cell lectin-like receptor subfamily A, member 1 (KLRA1)	0.0013886390121110603
Hs~Ref:NM_000607.1~uORF:IOH54759	Alpha-1-acid glycoprotein 1	0.001489099656442451
Hs~Ref:NM_001274.2~N/A	CHK1 checkpoint homolog (S. pombe) (CHEK1)	0.0016853800442832923
Hs~MGC:BC003502.1~uORF:IOH5490	REX2, RNA exonuclease 2 homolog (S. cerevisiae) (REXO2)	0.0017133931356410135
Hs~MGC:BC001286.1~uORF:IOH3272	dCMP deaminase (DCTD)	0.0018412514162790563
Hs~Ref:NM_014465.2~uORF:IOH54963	Sulfotransferase family cytosolic 1B member 1	0.0018654908271950397
Hs~Ref:NM_004850.2~N/A	Rho-associated protein kinase 2	0.0021312617500051046
Hs~MGC:BC039317.1~uORF:IOH28723	coiled-coil domain containing 65 (CCDC65)	0.002405355014927684
Hs~Ref:NM_012437.2~uORF:IOH3724	SNAP-associated protein (SNAPAP)	0.0027268784788073083
Hs~Ref:NM_145050.1~uORF:IOH12883	coiled-coil domain containing 26 (CCDC26)	0.003049661753524727
Hs~MGC:BC016901.1~uORF:IOH11722	Hermansky-Pudlak syndrome 3 (HPS3)	0.004045772306310514
Hs~Ref:NM_018667.2~uORF:IOH43841	sphingomyelin phosphodiesterase 3, neutral membrane (neutral sphingomyelinase II) (SMPD3)	0.004182607701990034
Hs~MGC:BC047575.1~uORF:IOH26425	dishevelled associated activator of morphogenesis 2 (DAAM2)	0.004881394574025625
Hs~Ref:NM_003877.3~uORF:IOH13865	suppressor of cytokine signaling 2 (SOCS2)	0.004984128343091207
Hs~Ref:NM_014183.1~uORF:IOH4293	dynein, light chain, roadblock-type 1 (DYNLRB1)	0.005672589510575036
Hs~MGC:BC003065.1~N/A	Cell division protein kinase 2	0.0060747570870872646
Hs~MGC:BC053998.1~uORF:IOH28976	serine/threonine kinase 16 (STK16)	0.006412192055077963
Hs~Ref:NM_018124.2~uORF:IOH4130	RING finger and WD repeat domain-containing protein 3	0.007061184072397185
Hs~Ref:NM_032140.1~uORF:IOH6250	chromosome 16 open reading frame 48 (C16orf48)	0.008153064239169408
Hs~Ref:NM_001018160.1~uORF:IOH59099	NEDD8-activating enzyme E1 regulatory subunit	0.008257488000405518
Hs~Ref:NM_177924.1~uORF:IOH21469	N-acylsphingosine amidohydrolase (acid ceramidase) 1 (ASAH1), transcript variant 1	0.00854914411780633
Hs~MGC:BC096312.2~uORF:IOH63282	Butyrophilin subfamily 1 member A1	0.008893053466144246
Hs~MGC:BC066948.1~uORF:IOH61473	Ubiquitin-conjugating enzyme E2 S	0.009091953061392613
